salinity,temperature
33.44,10.5
33.44,10.46
33.437,10.46
33.42,10.45
33.421,10.45
33.431,10.45
33.44,10.45
33.424,10.24
33.42,10.06
33.494,9.86
33.51,9.83
33.58,9.67
33.64,9.5
33.689,9.32
33.847,8.76
33.86,8.71
33.876,8.53
33.926,8.26
33.98,7.96
33.99,7.77
34.04,6.8
34.056,6.55
34.113,5.78
34.16,5.3
34.161,5.29
34.21,5.01
34.260999999999996,4.72
34.31,4.44
32.95,10.1
32.94,9.89
32.939,9.75
32.95,9.69
33.013000000000005,9.52
33.24,9.06
33.272,9.04
33.46,8.92
33.488,8.83
33.6,8.37
33.631,8.26
33.745,7.85
33.8,7.64
33.833,7.5
33.93,6.98
33.939,6.85
33.943000000000005,6.32
33.95,6.05
33.957,5.95
34.0,5.6
34.016,5.5
34.101,5.02
34.16,4.74
34.188,4.62
34.259,4.33
34.319,4.08
34.34,3.99
34.354,3.85
34.378,3.62
34.403,3.38
34.429,3.15
34.43,3.14
32.63,10.2
32.66,10.05
32.66,9.95
32.66,9.94
32.673,9.92
32.68,9.87
32.75,9.62
32.736,9.66
32.66,9.9
32.74,9.65
32.765,9.62
33.12,9.23
33.132,9.21
33.398,8.79
33.605,8.37
33.82,7.71
33.844,7.58
33.926,6.93
33.93,6.47
33.941,6.37
34.041,5.54
34.11,5.02
34.113,4.97
34.135,4.59
34.150999999999996,4.31
34.16,4.14
34.169000000000004,4.11
34.251999999999995,3.89
34.336,3.66
34.421,3.43
34.45,3.35
32.68,10.4
32.7,10.22
32.694,10.2
32.66,10.14
32.657,10.14
32.641,10.07
32.699,9.72
32.79,9.42
32.967,9.32
33.1,9.27
33.286,9.02
33.533,8.6
33.55,8.56
33.746,8.32
33.84,8.18
33.863,7.71
33.89,7.16
33.893,7.08
33.91,6.61
33.75,6.38
33.955,5.79
34.0,5.14
34.01,5.1
34.128,4.65
34.245,4.31
34.29,4.21
34.309,4.07
34.34,3.83
34.372,3.59
34.4,3.39
32.75,10.5
32.75,10.52
32.748000000000005,10.51
32.74,10.48
32.74,10.47
32.736999999999995,10.34
32.738,9.85
32.74,9.7
32.74,9.29
32.791,9.2
33.42,9.35
33.565,8.28
33.62,8.24
33.724000000000004,7.95
33.78,7.5
33.806999999999995,7.42
33.938,6.98
33.95,6.94
33.988,6.54
